,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,age_group,gender,personal_status,performance
510,1,12,2,0,759,1,4,4,3,1,2,1,26,3,2,1,3,1,1,1,2,1,1,1
317,2,24,2,2,4351,5,3,1,2,1,4,2,48,3,2,1,2,1,2,1,3,2,2,0
80,4,24,2,3,5943,5,2,1,2,1,1,3,44,3,2,2,3,1,2,1,3,2,2,1
598,4,18,4,0,2775,1,4,2,3,1,2,2,31,1,2,2,3,1,1,1,2,1,1,1
286,1,48,2,1,4788,1,4,4,3,1,3,2,26,3,2,1,3,2,1,1,2,1,1,0
848,1,9,2,3,1364,1,4,3,3,1,4,1,59,3,2,1,3,1,1,1,3,1,1,0
387,2,18,4,2,7374,1,1,4,3,1,4,2,40,2,2,2,4,1,2,1,3,1,1,0
328,3,36,2,3,4473,1,5,4,3,1,2,3,31,3,2,1,3,1,1,1,2,1,1,0
402,4,24,3,9,8648,1,2,2,3,1,2,3,27,1,2,2,3,1,2,1,2,1,1,1
180,4,36,3,9,9572,1,2,1,1,1,1,3,28,3,2,2,3,1,1,1,2,1,2,1
145,2,48,1,9,3566,2,4,4,3,1,2,3,30,3,2,1,3,1,1,1,2,1,1,0
253,4,24,3,2,4151,2,3,2,3,1,3,2,35,3,2,2,3,1,1,1,2,1,1,0
291,2,36,2,1,9398,1,2,1,4,1,4,3,28,3,1,1,4,1,2,1,2,1,2,1
623,1,12,2,2,1858,1,2,4,2,1,1,3,22,3,1,1,3,1,1,1,1,2,2,0
35,2,45,4,3,4746,1,2,4,3,1,2,2,25,3,2,2,2,1,1,1,2,1,1,1
523,4,24,2,1,3488,2,4,3,2,1,4,3,23,3,2,1,3,1,1,1,1,2,2,0
842,4,18,2,5,1943,1,2,4,2,1,4,1,23,3,2,1,3,1,1,1,1,2,2,1
895,4,36,3,1,8947,5,4,3,3,1,2,3,31,2,2,1,4,2,2,1,2,1,1,0
731,1,24,2,3,1987,1,3,2,3,1,4,1,21,3,1,1,2,2,1,1,1,1,1,1
986,3,42,0,9,6289,1,2,2,1,1,1,2,33,3,2,2,3,1,1,1,2,1,2,0
218,1,24,2,2,3021,1,3,2,1,1,2,1,24,3,1,1,2,1,1,1,1,1,2,0
188,1,12,2,3,674,2,4,4,4,1,1,2,20,3,2,1,3,1,1,1,1,1,2,1
584,4,12,2,0,2133,5,5,4,2,1,4,4,52,3,3,1,4,1,2,1,3,2,2,0
257,1,12,1,3,2149,1,3,4,1,1,1,4,29,3,3,1,3,1,1,1,2,1,2,1
56,2,12,2,3,6468,5,1,2,3,1,1,4,52,3,2,1,4,1,2,1,3,1,1,1
0,1,6,4,3,1169,5,5,4,3,1,4,1,67,3,2,2,3,1,2,1,4,1,1,0
355,2,24,2,0,1246,1,2,4,3,1,2,1,23,2,2,1,2,1,1,1,1,1,1,1
554,2,9,2,6,1199,1,4,4,2,1,4,2,67,3,2,2,4,1,2,1,4,2,2,0
591,2,24,3,0,1965,5,3,4,2,1,4,3,42,3,1,2,3,1,2,1,3,2,2,0
202,4,27,3,9,5117,1,4,3,3,1,4,3,26,3,2,2,3,1,1,1,2,1,1,0
880,4,24,2,1,7814,1,4,3,3,1,3,3,38,3,2,1,4,1,2,1,2,1,1,0
132,4,15,2,2,2708,1,2,2,3,1,3,2,27,1,2,2,2,1,1,1,2,1,1,0
314,3,4,2,0,1494,5,2,1,3,1,2,1,29,3,2,1,2,2,1,2,2,1,1,0
988,1,24,2,1,6579,1,1,4,3,1,2,4,29,3,3,1,4,1,2,1,2,1,1,0
570,1,24,2,2,3234,1,2,4,2,1,4,1,23,3,1,1,2,1,2,1,1,2,2,1
927,1,48,2,1,10297,1,4,4,3,1,4,4,39,2,3,3,3,2,2,1,2,1,1,1
830,4,24,3,9,2375,3,3,4,3,1,2,3,44,3,2,2,3,2,2,1,3,1,1,0
407,1,15,2,3,1053,1,2,4,4,1,2,1,27,3,2,1,3,1,1,2,2,1,2,0
268,1,14,2,0,8978,1,5,1,1,1,4,2,45,3,2,1,4,1,2,2,3,1,2,1
138,2,15,4,3,2728,5,4,4,3,3,2,1,35,1,2,3,3,1,2,1,2,1,1,0
609,4,15,2,1,1300,5,5,4,3,1,4,4,45,1,3,1,3,2,1,1,3,1,1,0
73,2,42,4,9,5954,1,4,2,2,1,1,1,41,1,2,2,2,1,1,1,3,2,2,0
260,1,12,2,2,1657,1,3,2,3,1,2,1,27,3,2,1,3,1,1,1,2,1,1,0
248,3,24,2,2,1925,1,3,2,3,1,2,1,26,3,2,1,3,1,1,1,2,1,1,0
629,4,9,2,6,3832,5,5,1,3,1,4,1,64,3,2,1,2,1,1,1,4,1,1,0
368,1,36,2,2,3446,1,5,4,3,1,2,3,42,3,2,1,3,2,1,1,3,1,1,1
706,2,48,2,0,6560,2,4,3,3,1,2,2,24,3,2,1,3,1,1,1,1,1,1,1
357,4,36,3,3,4463,1,3,4,3,1,2,3,26,3,2,2,4,1,2,1,2,1,1,1
246,4,12,4,3,717,1,5,4,3,1,4,1,52,3,2,3,3,1,1,1,3,1,1,0
938,2,60,2,6,6288,1,3,4,3,1,4,4,42,3,3,1,3,1,1,1,3,1,1,1
101,2,36,2,3,2323,1,4,4,3,1,4,3,24,3,1,1,3,1,1,1,1,1,1,0
677,2,72,2,3,5595,2,3,2,4,1,2,3,24,3,2,1,3,1,1,1,1,1,2,1
37,3,18,2,3,2100,1,3,4,3,2,2,1,37,2,2,1,3,1,1,1,2,1,1,1
690,1,15,4,2,975,1,3,2,1,1,3,2,25,3,2,2,3,1,1,1,2,1,2,0
741,2,10,1,3,1048,1,3,4,3,1,4,1,23,2,2,1,2,1,1,1,1,1,1,0
68,4,36,2,6,1819,1,3,4,3,1,4,4,37,2,3,1,3,1,2,1,2,1,1,1
194,2,45,2,3,3031,2,3,4,3,3,4,2,21,3,1,1,3,1,1,1,1,1,1,1
421,2,12,2,1,2028,5,3,4,3,1,2,3,30,3,2,1,3,1,1,1,2,1,1,0
568,2,48,2,3,3979,5,4,4,3,1,1,3,41,3,2,2,3,2,2,1,3,1,1,0
347,2,24,2,3,3758,3,1,1,2,1,4,4,23,3,1,1,1,1,1,1,1,2,2,0
613,1,24,1,1,3632,1,3,1,2,3,4,3,22,1,1,1,3,1,1,2,1,2,2,0
714,2,60,2,0,14027,1,4,4,3,1,2,4,27,3,2,1,4,1,2,1,2,1,1,1
7,2,36,2,1,6948,1,3,2,3,1,2,3,35,3,1,1,4,1,2,1,2,1,1,0
38,3,10,2,4,1225,1,3,2,3,1,2,3,37,3,2,1,3,1,2,1,2,1,1,0
968,4,42,2,3,7166,5,4,2,4,1,4,2,29,3,1,1,3,1,2,1,2,1,2,0
642,4,15,2,6,4623,2,3,3,3,1,2,2,40,3,2,1,4,1,2,1,3,1,1,1
560,1,24,2,1,2964,5,5,4,3,1,4,4,49,1,3,1,3,2,2,1,3,1,1,0
64,4,24,2,3,3181,1,2,4,2,1,4,2,26,3,2,1,3,1,2,1,2,2,2,0
305,4,6,2,2,1543,4,3,4,1,1,2,1,33,3,2,1,3,1,1,1,2,1,2,0
868,4,36,2,9,7409,5,5,3,3,1,2,2,37,3,2,2,3,1,1,1,2,1,1,0
811,2,6,2,3,484,1,4,3,4,3,3,1,28,1,2,1,2,1,1,1,2,1,2,0
800,4,24,4,6,1597,1,5,4,3,1,4,4,54,3,3,2,3,2,1,1,3,1,1,0
109,2,14,2,9,1410,3,5,1,4,1,2,1,35,3,2,1,3,1,2,1,2,1,2,0
936,3,9,2,3,745,1,3,3,2,1,2,1,28,3,2,1,2,1,1,1,2,2,2,1
555,2,12,2,3,1331,1,2,2,3,1,1,3,22,2,2,1,3,1,1,1,1,1,1,1
913,4,11,2,9,2142,4,5,1,1,1,2,1,28,3,2,1,3,1,2,1,2,1,2,0
748,4,21,2,1,5248,5,3,1,3,1,3,3,26,3,2,1,3,1,1,1,2,1,1,0
695,4,6,2,1,1236,3,3,2,3,1,4,2,50,3,1,1,3,1,1,1,3,1,1,0
655,1,14,2,0,3973,1,1,1,3,1,4,4,22,3,3,1,3,1,1,1,1,1,1,0
288,2,12,2,3,1092,1,3,4,2,3,4,1,49,3,2,2,3,1,2,1,3,2,2,0
42,2,18,3,5,6204,1,3,2,3,1,4,1,44,3,2,1,2,2,2,1,3,1,1,0
579,4,24,2,8,937,1,2,4,4,1,3,3,27,3,2,2,2,1,1,1,2,1,2,0
626,3,6,2,2,2116,1,3,2,3,1,2,1,41,3,2,1,3,1,2,1,3,1,1,0
175,4,30,1,1,7485,5,1,4,2,1,1,1,53,1,2,1,4,1,2,1,3,2,2,1
489,4,6,2,0,3518,1,3,2,3,3,3,2,26,3,1,1,3,1,1,1,2,1,1,0
146,1,6,4,0,860,1,5,1,2,1,4,4,39,3,2,2,3,1,2,1,2,2,2,0
406,4,24,4,1,2197,5,4,4,3,1,4,3,43,3,2,2,3,2,2,1,3,1,1,0
425,2,18,2,1,2779,1,3,1,4,1,3,3,21,3,1,1,3,1,2,1,1,1,2,0
562,3,6,3,3,683,1,2,2,2,1,1,2,29,1,2,1,3,1,1,1,2,2,2,0
747,1,12,2,0,1274,1,2,3,2,1,1,1,37,3,2,1,2,1,1,1,2,2,2,1
445,4,9,4,6,1244,5,5,4,2,1,4,2,41,3,1,2,2,1,1,1,3,2,2,0
472,1,9,2,0,654,1,3,4,3,1,3,3,28,3,2,1,2,1,1,1,2,1,1,1
245,4,24,2,9,1258,1,4,4,3,1,1,1,25,3,2,1,3,1,2,1,2,1,1,0
924,1,24,1,2,6872,1,2,2,1,1,1,2,55,1,2,1,3,1,2,1,3,1,2,1
928,4,30,2,3,1867,5,5,4,3,1,4,3,58,3,2,1,3,1,2,1,3,1,1,0
98,2,36,4,3,2337,1,5,4,3,1,4,1,36,3,2,1,3,1,1,1,2,1,1,0
481,2,24,2,0,1201,1,2,4,3,1,1,2,26,3,2,1,3,1,1,1,2,1,1,0
273,2,48,2,3,3060,1,4,4,3,1,4,1,28,3,2,2,3,1,1,1,2,1,1,1
456,1,11,4,0,3905,1,3,2,3,1,2,1,36,3,1,2,3,2,1,1,2,1,1,0
310,2,48,2,10,5381,5,1,3,3,1,4,4,40,1,3,1,1,1,2,1,3,1,1,0
374,2,60,1,10,14782,2,5,3,2,1,4,4,60,1,3,2,4,1,2,1,4,2,2,1
186,2,9,1,1,5129,1,5,2,2,1,4,4,74,1,3,1,4,2,2,1,4,2,2,1
468,4,33,3,9,2764,1,3,2,2,1,2,3,26,3,2,2,3,1,2,1,2,2,2,0
653,2,36,3,0,8086,2,5,2,3,1,4,3,42,3,2,4,4,1,2,1,3,1,1,1
860,4,24,4,1,5804,4,3,4,3,1,2,1,27,3,2,2,3,1,1,1,2,1,1,0
9,2,30,4,0,5234,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1,2,1,2,1
171,4,12,2,2,763,1,3,4,2,1,1,1,26,3,2,1,3,1,2,1,2,2,2,0
94,2,12,2,0,1318,4,5,4,3,1,4,1,54,3,2,1,3,1,2,1,3,1,1,0
910,4,36,3,3,4454,1,3,4,2,1,4,1,34,3,2,2,3,1,1,1,2,2,2,0
44,1,48,4,1,6143,1,5,4,2,1,4,4,58,2,3,2,2,1,1,1,3,2,2,1
412,4,12,4,9,2292,1,1,4,3,1,2,3,42,2,2,2,4,1,2,1,3,1,1,1
474,2,18,4,3,1245,1,3,4,4,1,2,3,33,3,2,1,3,1,1,1,2,1,2,1
984,4,24,4,2,2028,1,4,2,3,1,2,2,30,3,2,2,2,1,1,1,2,1,1,0
945,2,48,0,0,8358,3,2,1,2,1,1,3,30,3,2,2,3,1,1,1,2,2,2,0
92,4,12,4,3,797,5,5,4,2,1,3,2,33,1,2,1,2,2,1,1,2,2,2,1
894,4,18,4,3,1169,5,3,4,3,1,3,2,29,3,2,2,3,1,2,1,2,1,1,0
710,4,18,4,3,629,3,5,4,3,1,3,2,32,1,2,2,4,1,2,1,2,1,1,0
704,2,27,2,9,2528,1,2,4,2,1,1,2,32,3,2,1,3,2,2,1,2,2,2,0
206,4,12,4,2,1935,1,5,4,3,1,4,1,43,3,2,3,3,1,2,1,3,1,1,0
547,4,24,2,3,1552,1,4,3,3,1,1,3,32,1,2,1,3,2,1,1,2,1,1,0
723,2,9,2,3,790,3,3,4,2,1,3,1,66,3,2,1,2,1,1,1,4,2,2,0
743,1,24,1,2,2483,3,3,4,3,1,4,1,22,2,2,1,3,1,2,1,1,1,1,0
112,2,18,2,0,6260,1,4,3,3,1,3,1,28,3,1,1,2,1,1,1,2,1,1,0
941,4,10,2,0,1546,1,3,3,3,1,2,1,31,3,2,1,2,2,1,2,2,1,1,0
210,4,9,4,3,3074,5,3,1,3,1,2,1,33,3,2,2,3,2,1,1,2,1,1,0
808,2,42,1,1,9283,1,1,1,3,1,2,4,55,1,3,1,4,1,2,1,3,1,1,0
810,2,8,2,9,907,1,2,3,4,1,2,1,26,3,2,1,3,1,2,1,2,1,2,0
276,4,18,4,3,2404,1,3,2,2,1,2,3,26,3,2,2,3,1,1,1,2,2,2,0
34,3,12,2,2,1474,1,2,4,2,1,1,2,33,1,2,1,4,1,2,1,2,2,2,0
494,1,12,4,0,2122,1,3,3,3,1,2,1,39,3,1,2,2,2,1,2,2,1,1,0
768,2,12,4,2,3617,1,5,1,3,1,4,3,28,3,1,3,3,1,2,1,2,1,1,0
843,4,24,1,9,1559,1,4,4,3,1,4,3,50,1,2,1,3,1,2,1,3,1,1,0
280,4,15,4,1,3368,4,5,3,3,1,4,4,23,3,1,2,3,1,2,1,1,1,1,0
63,2,48,0,9,14421,1,3,2,3,1,2,3,25,3,2,1,3,1,2,1,2,1,1,1
377,4,7,3,3,846,5,5,3,3,1,4,4,36,3,3,1,3,1,1,1,2,1,1,0
358,4,12,2,3,776,1,3,4,4,1,2,1,28,3,2,1,3,1,1,1,2,1,2,0
632,2,15,2,3,1444,5,2,4,3,1,1,2,23,3,2,1,3,1,1,1,1,1,1,0
590,1,12,4,3,385,1,4,4,2,1,3,1,58,3,2,4,2,1,2,1,3,2,2,0
401,2,18,4,9,1887,5,3,4,4,1,4,1,28,1,2,2,3,1,1,1,2,1,2,0
683,4,24,4,3,5103,1,2,3,4,1,3,4,47,3,3,3,3,1,2,1,3,1,2,0
53,4,18,2,1,3378,5,3,2,3,1,1,2,31,3,2,1,3,1,2,1,2,1,1,0
86,2,18,4,2,1295,1,2,4,2,1,1,2,27,3,2,2,3,1,1,1,2,2,2,0
487,4,24,2,0,3757,1,5,4,2,2,4,4,62,3,3,1,3,1,2,1,4,2,2,0
15,1,24,2,3,1282,2,3,4,2,1,2,3,32,3,2,1,2,1,1,1,2,2,2,1
90,4,12,4,3,618,1,5,4,3,1,4,1,56,3,2,1,3,1,1,1,3,1,1,0
875,2,11,4,0,1322,4,3,4,2,1,4,3,40,3,2,2,3,1,1,1,3,2,2,0
795,4,9,2,2,2301,2,2,2,2,1,4,2,22,3,1,1,3,1,1,1,1,2,2,0
581,2,12,4,0,3124,1,2,1,3,1,3,1,49,1,2,2,2,2,1,1,3,1,1,0
484,4,12,4,0,1163,3,3,4,3,1,4,1,44,3,2,1,3,1,2,1,3,1,1,0
121,4,24,4,1,3868,1,5,4,2,1,2,3,41,3,1,2,4,1,2,1,3,2,2,0
360,2,18,2,6,1239,5,3,4,3,1,4,4,61,3,3,1,3,1,1,1,4,1,1,0
663,2,6,3,2,1050,1,1,4,3,1,1,2,35,2,2,2,4,1,2,1,2,1,1,0
486,4,12,2,3,3077,1,3,2,3,1,4,3,52,3,2,1,3,1,2,1,3,1,1,0
100,4,24,2,0,1469,2,5,4,4,1,4,1,41,3,1,1,2,1,1,1,3,1,2,0
964,2,6,2,5,454,1,2,3,4,1,1,2,22,3,2,1,2,1,1,1,1,1,2,0
330,1,24,4,1,6615,1,1,2,3,1,4,4,75,3,3,2,4,1,2,1,4,1,1,0
161,4,18,4,0,1055,1,2,4,2,1,1,2,30,3,2,2,3,1,1,1,2,2,2,0
190,4,24,2,9,4591,4,3,2,3,1,3,2,54,3,2,3,4,1,2,1,3,1,1,1
447,2,7,2,3,2576,1,3,2,3,3,2,1,35,3,2,1,3,1,1,1,2,1,1,0
155,1,12,2,2,1282,1,3,2,2,1,4,3,20,3,1,1,3,1,1,1,1,2,2,1
321,1,24,2,3,1938,1,2,4,1,1,3,2,32,3,2,1,3,1,1,1,2,1,2,1
369,2,18,2,2,3001,1,4,2,2,1,4,1,40,3,1,1,3,1,1,1,3,2,2,0
465,1,24,2,1,2924,1,3,3,3,3,4,4,63,1,2,1,3,2,2,1,4,1,1,0
682,4,15,3,3,1478,1,3,4,4,1,3,1,33,1,2,2,3,1,1,1,2,1,2,0
168,4,24,2,2,3972,1,4,2,2,1,4,2,25,3,1,1,3,1,2,1,2,2,2,0
834,3,15,2,3,2327,1,2,2,2,1,3,1,25,3,2,1,2,1,1,1,2,2,2,1
70,4,36,2,1,8133,1,3,1,2,1,2,2,30,1,2,1,3,1,1,1,2,2,2,0
371,4,18,4,3,6070,1,5,3,3,1,4,3,33,3,2,2,3,1,2,1,2,1,1,0
97,2,18,2,9,2622,2,3,4,3,1,4,3,34,3,2,1,3,1,1,1,2,1,1,0
685,4,60,2,0,6527,5,3,4,3,1,4,4,34,3,3,1,3,2,2,1,2,1,1,0
503,2,24,4,3,1216,2,2,4,3,1,4,4,38,1,2,2,3,2,1,1,2,1,1,1
660,3,12,2,3,1297,1,3,3,4,1,4,1,23,3,1,1,3,1,1,1,1,1,2,0
863,4,27,4,2,4526,4,2,4,3,1,2,1,32,2,2,2,2,2,2,1,2,1,1,0
40,4,30,2,3,2333,3,5,4,3,1,2,3,30,1,2,1,4,1,1,1,2,1,1,0
320,2,30,4,0,4249,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1,2,1,2,1
251,3,12,2,2,2251,1,3,1,2,1,2,3,46,3,2,1,2,1,1,1,3,2,2,0
431,2,24,2,10,11328,1,3,2,3,2,3,3,29,1,2,2,4,1,2,1,2,1,1,1
344,3,10,2,0,3949,1,2,1,3,3,1,2,37,3,2,1,2,2,1,1,2,1,1,0
232,4,12,2,3,2141,2,4,3,3,1,1,4,35,3,2,1,3,1,1,1,2,1,1,0
148,1,36,4,2,5371,1,3,3,3,3,2,2,28,3,2,2,3,1,1,1,2,1,1,0
827,4,18,0,9,4165,1,3,2,3,1,2,3,36,2,2,2,3,2,1,1,2,1,1,1
293,3,42,4,1,4796,1,5,4,3,1,4,4,56,3,3,1,3,1,1,1,3,1,1,0
108,1,24,2,2,7721,5,2,1,2,1,2,2,30,3,2,1,3,1,2,2,2,2,2,0
217,3,36,2,3,3913,1,3,2,3,1,2,1,23,3,2,1,3,1,2,1,1,1,1,0
711,1,6,1,6,1198,1,5,4,2,1,4,4,35,3,3,1,3,1,1,1,2,2,2,1
805,1,36,2,0,9271,1,4,2,3,1,1,3,24,3,2,1,3,1,2,1,1,1,1,1
113,4,36,4,0,7855,1,3,4,2,1,2,1,25,2,2,2,3,1,2,1,2,2,2,1
855,4,24,2,0,1474,2,2,4,4,1,3,1,33,3,2,1,3,1,2,1,2,1,2,0
463,2,12,2,8,754,5,5,4,3,1,4,2,38,3,2,2,3,1,1,1,2,1,1,0
545,1,24,3,0,1333,1,1,4,3,1,2,1,43,3,3,2,3,2,1,1,3,1,1,1
258,4,15,2,1,3812,2,2,1,2,1,4,3,23,3,2,1,3,1,2,1,1,2,2,0
192,2,27,2,9,3915,1,3,4,3,1,2,3,36,3,2,1,3,2,2,1,2,1,1,1
553,2,12,4,0,1995,2,2,4,3,1,1,3,27,3,2,1,3,1,1,1,2,1,1,0
537,2,18,4,2,3612,1,5,3,2,1,4,2,37,3,2,1,3,1,2,1,2,2,2,0
552,1,48,2,3,6999,1,4,1,4,3,1,1,34,3,2,2,3,1,2,1,2,1,2,1
