,id,x1_limit_bal,x2_sex,x3_education,x4_marriage,x5_age,x6_pay_0,x7_pay_2,x8_pay_3,x9_pay_4,x10_pay_5,x11_pay_6,x12_bill_amt1,x13_bill_amt2,x14_bill_amt3,x15_bill_amt4,x16_bill_amt5,x17_bill_amt6,x18_pay_amt1,x19_pay_amt2,x20_pay_amt3,x21_pay_amt4,x22_pay_amt5,x23_pay_amt6,y_default_payment_next_month,age_buckets
16667,16668,20000,1,2,1,32,1,2,2,2,2,0,17913,17328,20353,19966,19056,19445,0,3309,381,0,389,890,True,2
14642,14643,300000,2,1,1,52,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,False,3
25132,25133,450000,1,1,1,52,0,0,0,0,0,0,388009,393535,403891,415193,145198,138389,15000,16701,20101,7000,5750,10000,False,3
2855,2856,320000,1,2,1,39,0,0,0,-1,-1,-1,51058,34619,18079,18077,1792,18344,1240,1403,18084,1801,18352,2072,False,2
24004,24005,50000,1,3,2,27,0,0,-2,-2,-1,-1,32590,-100,0,0,70,120,0,100,0,70,200,100,False,1
2910,2911,50000,1,2,2,40,0,0,0,0,0,0,40561,97214,48890,8694,8876,9052,18280,2284,311,322,323,334,False,3
24247,24248,110000,1,2,1,30,0,0,0,-2,-1,0,47755,15484,-41,0,67942,53947,1525,0,41,109332,2400,2000,False,2
18040,18041,50000,1,3,1,47,-1,0,-1,-1,0,0,2840,2522,5500,21709,21056,20061,1000,5500,21709,916,1161,1884,False,3
12579,12580,500000,1,1,2,33,0,0,0,0,0,0,49981,45803,43838,25588,24648,23773,2200,2000,3000,2000,2657,85500,False,2
24935,24936,270000,1,1,1,39,0,0,0,-1,0,0,18221,5973,6511,49873,44658,40703,3005,3027,49935,5021,2004,5008,False,2
25343,25344,210000,2,5,2,27,1,-2,-1,-1,-2,-2,0,0,780,0,0,0,0,780,0,0,0,0,False,1
2881,2882,50000,1,2,2,23,-1,-1,0,0,0,0,3352,18685,15868,11348,7822,7357,18685,1105,500,500,500,1000,False,1
22032,22033,50000,2,2,2,28,0,0,0,0,0,0,10051,14149,21514,25359,30400,39678,5000,10000,5000,5780,10000,10000,False,1
24094,24095,200000,1,4,2,28,-1,-1,-1,-1,-1,0,1707,1106,2628,7502,38584,16990,1109,2807,26316,50108,85,1746,False,1
172,173,50000,2,2,2,22,-1,0,0,0,0,0,8567,15273,11650,7457,3115,7725,15000,1000,149,0,5000,10000,False,1
4744,4745,120000,1,1,2,41,1,-2,-2,-1,0,0,-8,-208,-408,57392,58805,60200,0,0,58000,2000,2000,0,False,3
20921,20922,30000,1,3,1,42,1,2,0,0,0,0,14655,12731,13225,16952,11920,0,14,3000,5000,1000,0,0,False,3
25351,25352,160000,2,1,2,27,1,-1,0,0,0,0,0,11700,12829,10801,10351,3366,11700,12014,8000,5000,0,1263,True,1
18877,18878,220000,2,1,2,30,0,0,0,0,0,0,45346,42480,37160,29161,20209,22679,1947,2000,3776,606,10764,3217,False,2
7094,7095,160000,2,2,1,27,0,0,0,-2,-2,-2,75652,44675,-183,-218,-218,-218,1020,0,0,0,0,0,True,1
25220,25221,10000,2,1,2,24,1,2,0,0,2,2,6779,6524,7559,9564,9264,9862,0,1300,2300,0,900,500,False,1
23416,23417,220000,2,1,1,44,0,0,0,0,0,0,215191,215969,216849,214030,213678,190469,10000,10000,7000,6568,6000,5000,False,3
26253,26254,230000,2,2,2,29,-2,-1,-1,-1,-1,-1,0,4375,1225,401,2460,804,4375,1225,401,2460,804,708,False,1
4996,4997,180000,2,4,1,34,-1,-1,-1,-1,0,0,6892,6892,6892,6282,8282,0,6892,6892,6282,2000,0,0,False,2
26344,26345,180000,2,1,1,29,-2,-1,0,0,-2,-2,0,287,5264,1521,0,0,287,5293,1523,0,0,0,False,1
27242,27243,50000,1,2,2,33,0,0,0,0,0,0,18844,20039,21076,20578,19046,18998,1500,1371,2000,2000,1000,1000,True,2
29274,29275,180000,1,1,2,23,0,0,0,0,0,0,177998,167021,148713,129518,125868,121823,7000,6000,5000,5000,4416,4577,False,1
6887,6888,50000,1,2,2,44,0,0,0,0,0,0,49120,50823,49844,20239,20241,19921,2504,1590,701,803,1000,671,False,3
28612,28613,360000,2,3,2,39,1,-2,-2,-2,-2,-2,0,0,271,-1,560,0,0,271,0,561,0,0,False,2
15908,15909,50000,2,2,1,32,0,0,0,0,0,0,49330,49547,49740,50275,20089,19964,2150,2100,2097,1289,712,713,False,2
14576,14577,110000,2,2,2,25,1,2,2,0,0,0,104871,107422,101930,102111,101521,100240,8000,0,4000,4000,3600,3500,False,1
14302,14303,200000,1,1,2,31,1,-2,-1,-1,-1,-1,0,0,50307,28281,42163,0,0,50307,28281,42163,5040,3036,False,2
29336,29337,10000,1,2,2,27,-1,0,0,0,0,0,5002,6014,7111,8120,9120,0,1103,1200,1200,1000,0,0,False,1
18813,18814,50000,2,2,1,27,0,0,0,0,0,0,45632,42750,39776,33164,34781,30231,1837,2500,1390,2007,2000,2000,False,1
11063,11064,80000,2,3,1,52,1,-1,-1,-1,-1,-1,0,2583,3001,21306,5051,2450,2583,3001,21306,5051,2450,0,True,3
8397,8398,100000,2,1,1,40,-1,-1,-1,0,-1,-1,390,390,780,390,390,7140,390,780,0,390,7140,1230,False,3
4775,4776,260000,2,1,1,48,0,0,0,-2,-2,-2,8339,8333,0,0,0,0,5000,0,0,0,0,0,False,3
11653,11654,30000,2,1,2,23,1,2,0,0,0,0,10764,10454,11862,12104,12351,8000,0,2000,242,247,2000,0,True,1
28320,28321,350000,2,2,2,28,-2,-2,-2,-2,-2,-2,3738,7555,36553,8997,13074,5107,7555,36698,9124,13074,5107,18830,False,1
22450,22451,80000,2,2,2,38,0,0,0,0,0,0,17816,18095,17374,14298,12259,10498,3000,2000,1000,2000,2000,2000,False,2
28779,28780,200000,2,1,1,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,False,2
11974,11975,330000,1,1,1,61,-2,-2,-2,-2,-2,-2,14897,19364,906,2342,1702,882,19364,906,2342,1702,882,1940,False,3
158,159,210000,1,3,1,45,2,3,4,4,5,6,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,11678,10478,True,3
2799,2800,100000,1,2,2,43,0,0,0,0,0,0,47730,47525,47184,46836,46529,47070,1808,1728,1641,1673,1689,1754,False,3
18250,18251,30000,1,2,2,52,2,2,0,0,0,0,30119,28682,29058,29320,29787,27599,0,1803,1733,1200,1200,2000,True,3
24917,24918,50000,1,2,2,35,0,0,0,0,0,0,50471,48538,49484,46077,23536,24045,3000,1755,1500,842,888,1914,False,2
5371,5372,10000,1,3,1,40,1,2,2,3,2,2,7229,6968,8881,8594,8312,9241,0,2035,0,0,1069,1000,True,3
28370,28371,80000,2,3,1,36,-1,-1,-1,2,0,-1,808,808,1672,1672,836,836,836,1700,836,0,836,390,False,2
862,863,30000,2,3,2,52,2,2,7,7,7,7,2450,2450,2450,2450,2450,2450,0,0,0,0,0,0,True,3
19616,19617,270000,2,1,2,30,2,2,2,0,0,0,172933,184761,164009,161843,151862,0,19028,0,3451,5004,0,0,True,2
5330,5331,50000,1,3,1,42,0,0,0,0,0,0,47838,49246,50376,9408,9605,9806,2180,2310,336,348,360,349,False,3
2193,2194,190000,1,2,1,43,0,0,0,0,0,0,90580,72260,80337,84221,91805,100053,10000,10000,10000,9000,10000,22000,False,3
882,883,230000,2,1,2,38,0,0,0,0,0,0,224020,227311,184500,128190,130883,133504,8750,7470,4540,4710,4750,4900,False,2
7011,7012,200000,2,1,2,37,-1,-1,-1,-1,0,-1,11211,12329,11846,25920,8035,8521,12329,11846,25924,161,8521,5538,False,2
26358,26359,80000,2,3,1,32,2,0,0,0,2,0,26856,24758,23044,22919,21890,22003,1700,1400,2400,0,1000,1500,False,2
25191,25192,50000,2,1,2,23,2,2,2,2,2,2,44609,44579,46573,47510,48425,49502,1000,3000,2000,2000,2000,0,True,1
1190,1191,240000,2,1,2,29,0,0,0,0,0,-2,3093,2322,8186,3980,0,0,2000,2020,2500,0,0,85,False,1
29998,29999,80000,1,3,1,41,1,-1,0,0,0,-1,-1645,78379,76304,52774,11855,48944,85900,3409,1178,1926,52964,1804,True,3
28583,28584,30000,2,3,1,32,0,-1,-1,-1,0,-1,28701,26108,17595,24715,22136,22738,27078,17648,25008,509,22806,10035,False,2
20204,20205,20000,2,3,2,52,0,0,0,0,0,2,18603,15208,16153,18175,19876,19419,1555,1500,2300,2000,0,1000,False,3
14929,14930,170000,1,2,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,False,1
5147,5148,50000,2,2,2,25,1,2,2,2,2,2,13750,15224,14687,16135,15737,17316,2000,0,2000,0,2000,0,True,1
2581,2582,140000,2,1,2,43,1,2,0,0,0,0,147560,142435,142096,136836,139417,141889,3,5000,5000,5100,10200,5000,False,3
12773,12774,300000,1,1,2,34,0,0,0,0,0,0,271928,274915,279570,241030,228125,215438,10230,9483,8172,8081,7707,7981,True,2
3142,3143,170000,2,1,1,41,0,0,0,0,0,0,165602,138507,136176,61000,59477,44218,80000,4742,2022,2076,1776,10433,False,3
25658,25659,360000,2,1,2,33,0,0,0,0,0,0,20376,17726,18797,15816,16112,10793,1500,2016,1095,1024,350,1323,False,2
11180,11181,190000,2,2,1,45,2,0,0,0,0,0,140329,128107,131132,96083,97453,99426,6800,7000,3585,3700,3754,7900,False,3
28210,28211,300000,2,2,1,40,0,0,0,0,0,0,11704,10196,8900,7099,5437,3958,1139,1322,1000,2000,1000,1000,False,3
10845,10846,500000,1,1,1,41,-1,-1,-1,-2,-1,-1,719,1550,-50,-50,10037,79,1558,0,0,10087,79,471,False,3
2019,2020,50000,2,2,1,36,2,0,0,0,0,0,50922,50367,41627,42297,43031,45837,1715,1991,1661,1566,3526,0,True,2
1745,1746,50000,2,1,2,22,0,0,0,0,0,0,49459,49281,50071,10104,9208,10075,2300,2000,1000,500,1000,500,False,1
21996,21997,160000,2,1,2,27,-2,-2,-2,-2,-2,-2,1040,1188,1276,372,372,372,1320,1276,372,372,372,372,False,1
20592,20593,50000,1,2,2,27,0,0,0,0,0,0,17831,18139,18777,19662,19348,19355,1295,1323,1598,674,690,855,False,1
7883,7884,180000,1,2,1,30,0,0,0,0,0,0,135001,135199,134817,52629,51543,52781,6100,6000,1900,1680,1900,3888,False,2
21664,21665,50000,2,1,2,22,0,0,0,0,0,0,49772,50537,49556,49902,38391,29427,1778,2110,1456,1360,1057,1069,False,1
2589,2590,210000,2,2,1,35,2,2,2,0,0,2,61189,62721,61115,62334,66196,64979,3100,0,2235,4870,0,2563,True,2
437,438,110000,1,3,1,37,0,0,0,0,0,0,61807,62499,62162,60605,60272,60145,2300,2200,2300,2200,2300,2300,False,2
12382,12383,110000,2,1,2,27,-1,-1,-2,-2,-2,-2,2280,0,0,0,0,0,0,0,0,0,0,4650,False,1
21240,21241,260000,1,1,2,39,3,2,0,0,0,0,235799,124838,116164,106976,96938,98502,13,4276,3716,3600,3604,105642,False,2
832,833,470000,2,2,1,27,0,0,0,0,-1,0,152478,62084,54551,14363,97440,90717,3001,4005,2021,97441,5001,5001,True,1
6172,6173,230000,2,1,2,27,1,-1,-1,-1,-1,-2,0,1988,19690,25681,0,0,1988,19878,25681,0,0,0,False,1
9820,9821,20000,1,2,2,26,2,2,2,2,2,3,36060,31741,30013,25938,28447,24288,0,2600,0,6500,0,0,False,1
7724,7725,90000,2,1,2,23,-1,0,0,2,2,2,11495,10764,11304,9601,10050,8304,1200,3000,0,2000,0,2000,True,1
28471,28472,200000,2,2,2,32,0,0,0,2,0,0,127132,126380,124413,118419,121047,123719,5058,11518,0,4600,4800,4300,False,2
12490,12491,50000,2,2,1,34,0,0,0,0,0,0,7900,8922,9926,9970,10339,11009,1309,1313,357,530,1000,622,True,2
21902,21903,80000,2,1,1,27,-1,-1,-1,-1,-2,-2,494,329,4724,0,1054,0,329,4750,0,1054,0,4252,False,1
3872,3873,30000,1,3,1,49,2,2,2,2,2,2,26343,27127,26393,29646,30390,29755,1500,0,3712,1363,0,1141,False,3
1816,1817,160000,1,1,1,40,1,-1,-1,-1,-1,-1,0,567,4027,3100,2123,4899,567,4059,3100,2123,4899,3165,False,3
6809,6810,210000,1,1,1,42,-1,-1,-1,-1,-1,-1,2295,6072,8319,5330,1586,4920,6090,8369,5346,1590,4934,3568,False,3
25305,25306,30000,2,1,2,25,1,3,2,0,0,0,14717,14190,12900,11006,5584,5268,0,0,2046,0,0,0,True,1
5576,5577,150000,1,2,2,26,-2,-2,-2,-2,-2,-2,3627,0,0,0,0,0,0,0,0,0,0,0,True,1
5879,5880,50000,2,2,2,23,0,0,0,0,0,0,42790,39480,36360,29123,28809,29263,1635,1423,1020,1050,1503,1016,False,1
27938,27939,420000,2,2,2,28,0,0,0,0,0,0,89829,82251,78830,76521,78049,79792,5126,3019,2777,2800,3000,3000,False,1
23337,23338,300000,2,2,2,43,-2,-2,-2,-2,-2,-2,2936,1669,743,3040,1927,14713,1676,743,3047,1927,14713,159,False,3
17979,17980,20000,1,3,2,39,0,0,0,0,0,0,30892,16348,13593,10236,17541,16322,5000,2015,3000,10005,3414,270,False,2
26536,26537,80000,2,3,1,54,0,0,0,0,0,0,78929,78177,63914,54382,48834,49756,3200,3002,2202,2000,2000,2000,False,3
5639,5640,130000,1,2,2,42,0,0,0,0,0,0,83521,84373,86004,87718,90720,87851,3087,3059,3080,4355,3323,3192,False,3
13181,13182,30000,2,2,1,25,0,0,0,0,0,0,18757,19419,19341,12459,12244,11550,1475,1000,249,600,201,0,False,1
28508,28509,150000,2,1,2,29,0,0,0,0,0,0,78044,43437,45132,39180,31422,32410,2000,2500,3300,2150,1500,6200,False,1
20383,20384,20000,1,2,2,23,0,0,0,0,0,0,15932,16965,17993,18698,19075,20498,1605,1605,1310,687,1735,0,False,1
591,592,160000,1,1,2,34,0,0,0,0,0,0,83255,83912,85161,85715,86773,87526,4000,3924,3200,3300,3425,3013,False,2
5082,5083,50000,2,3,1,57,0,-1,-1,-1,-1,-1,3964,1690,3780,1468,1468,1644,1690,3780,1468,1468,1644,1363,False,3
7360,7361,220000,2,2,1,54,-1,-1,0,-1,-1,2,264,1138,3874,264,3105,2074,1138,3000,264,3105,0,264,False,3
13890,13891,280000,2,2,2,30,-1,-1,-1,0,0,-1,1478,-3,12353,22633,7666,10260,0,12356,11079,1447,10310,290,False,2
12317,12318,220000,1,1,2,30,0,0,0,0,0,0,87604,89687,90889,91892,93815,96466,5000,4200,4000,4000,5000,5000,False,2
3389,3390,270000,1,3,1,32,3,2,0,0,0,0,150616,146262,149449,150893,153878,157324,0,7100,5500,6000,6000,5100,False,2
11791,11792,500000,1,2,1,39,-1,-1,-1,-1,-1,-1,23800,297,9342,3518,5597,717,297,9342,3518,5597,717,25349,False,2
25366,25367,80000,2,1,2,25,0,0,0,0,0,0,40764,41765,42251,46475,48156,50419,2000,1776,5000,3000,5000,2500,False,1
16063,16064,50000,2,2,1,43,1,2,0,0,0,0,50738,49236,48608,48423,49023,49681,4,1939,2000,1700,1750,5430,False,3
15276,15277,200000,2,2,1,31,0,0,0,0,0,0,24605,25653,26750,24014,10885,7371,1462,1559,2000,390,328,180,False,2
12728,12729,210000,2,1,1,32,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,False,2
9952,9953,20000,1,1,2,37,2,2,2,2,2,0,14688,16827,17251,17672,17250,18305,2700,1000,1000,0,1500,1500,True,2
1947,1948,320000,1,1,1,33,0,0,0,0,0,0,325445,202853,57051,161651,182265,0,10000,15000,105000,55000,0,0,False,2
3626,3627,50000,1,2,2,37,0,0,0,0,0,0,50701,50462,50218,20141,20072,19493,2202,2083,697,711,717,674,False,2
11441,11442,60000,2,2,2,24,1,-2,-1,-1,-2,-2,0,0,1668,844,200,2930,0,1668,844,1044,2930,3783,False,1
11357,11358,50000,2,2,1,39,0,0,0,0,2,0,10960,12030,13125,14104,13735,14307,1250,1300,1200,0,800,600,False,2
25669,25670,230000,2,2,1,27,0,0,0,0,0,0,24739,19712,18175,12109,11616,10134,2000,1928,1014,1000,203,34096,False,1
20117,20118,50000,2,2,1,42,0,0,0,0,0,0,49624,49357,49366,49221,48848,47545,2100,2150,2200,2000,2000,3000,False,3
7002,7003,80000,2,3,1,39,2,2,2,2,2,2,48401,49326,50207,51081,52118,51129,2000,2000,2000,2001,0,4100,False,2
18559,18560,50000,2,2,2,24,0,0,0,0,0,0,27890,27788,19742,20672,16336,16921,2000,2000,1600,1000,1000,1000,False,1
27633,27634,20000,2,2,2,22,0,0,0,0,0,0,15090,15199,17111,18422,18234,18217,1500,3000,2000,779,796,788,False,1
21267,21268,240000,1,2,1,51,0,0,0,0,0,0,98588,100545,102651,104749,106832,109062,3592,3719,3798,3821,3949,3976,True,3
1281,1282,360000,1,1,2,34,1,-2,-2,-2,-2,-1,0,0,0,0,0,150,0,0,0,0,150,59,False,2
17132,17133,80000,2,1,2,24,0,0,2,0,0,0,39813,46375,43576,28468,25971,23686,9425,1,2012,1091,1006,2516,True,1
11102,11103,290000,2,2,2,29,-2,-1,-1,-1,-1,-1,0,1591,0,302,390,1278,1591,0,302,390,1278,0,False,1
10401,10402,200000,1,1,1,32,-1,-1,-1,-2,-1,-1,1727,1796,-4,-4,1565,1686,1809,0,0,1569,1691,0,False,2
25046,25047,370000,1,1,2,52,0,0,0,0,0,0,242132,130404,65225,41922,37565,28830,5600,3000,2000,3000,500,4019,False,3
1772,1773,180000,2,3,1,26,0,0,0,-2,-2,-2,32023,20233,0,0,0,0,10000,0,0,0,0,0,False,1
486,487,230000,2,1,1,42,-1,-1,-1,-1,-1,-1,6865,15111,13165,0,10500,6992,15111,13165,0,10500,6992,0,False,3
8287,8288,70000,1,2,2,36,1,-1,-1,0,0,0,0,690,25566,26227,26375,26510,690,25566,1066,1091,1100,1312,False,2
15682,15683,250000,1,2,2,28,-2,-2,-2,-2,-2,-2,22303,51749,186394,9458,6620,10040,51762,186398,9467,6620,10040,8960,False,1
19275,19276,210000,2,1,1,33,-2,-2,-2,-2,-2,-2,1345,6087,947,500,1283,500,6087,947,500,1283,500,500,False,2
16549,16550,150000,1,1,2,29,2,0,0,0,0,0,7562,10609,14101,17523,18914,28516,3500,4000,4000,2000,10000,4000,False,1
